COD_VEHICLE,COD_PATH,Start Inventory,Target Inventory,pQuantityVehicles
0.42LKM-600L,1,600,1,1
0.55LKM-800L,1,800,1,1
0.58LKM-1000L,1,1000,1,1
0.65LKM-1200L,1,1200,1,1
0.546LKM-600L,1,600,1,1
0.715LKM-800L,1,800,1,1
0.754LKM-1000L,1,1000,1,1
0.845LKM-1200L,1,1200,1,1
0.42LKM-600L,10,600,1,1
0.55LKM-800L,10,800,1,1
0.58LKM-1000L,10,1000,1,1
0.65LKM-1200L,10,1200,1,1
0.546LKM-600L,10,600,1,1
0.715LKM-800L,10,800,1,1
0.754LKM-1000L,10,1000,1,1
0.845LKM-1200L,10,1200,1,1
0.42LKM-600L,2,600,1,1
0.55LKM-800L,2,800,1,1
0.58LKM-1000L,2,1000,1,1
0.65LKM-1200L,2,1200,1,1
0.546LKM-600L,2,600,1,1
0.715LKM-800L,2,800,1,1
0.754LKM-1000L,2,1000,1,1
0.845LKM-1200L,2,1200,1,1
0.42LKM-600L,3,600,1,1
0.55LKM-800L,3,800,1,1
0.58LKM-1000L,3,1000,1,1
0.65LKM-1200L,3,1200,1,1
0.546LKM-600L,3,600,1,1
0.715LKM-800L,3,800,1,1
0.754LKM-1000L,3,1000,1,1
0.845LKM-1200L,3,1200,1,1
0.42LKM-600L,4,600,1,1
0.55LKM-800L,4,800,1,1
0.58LKM-1000L,4,1000,1,1
0.65LKM-1200L,4,1200,1,1
0.546LKM-600L,4,600,1,1
0.715LKM-800L,4,800,1,1
0.754LKM-1000L,4,1000,1,1
0.845LKM-1200L,4,1200,1,1
0.42LKM-600L,5,600,1,1
0.55LKM-800L,5,800,1,1
0.58LKM-1000L,5,1000,1,1
0.65LKM-1200L,5,1200,1,1
0.546LKM-600L,5,600,1,1
0.715LKM-800L,5,800,1,1
0.754LKM-1000L,5,1000,1,1
0.845LKM-1200L,5,1200,1,1
0.42LKM-600L,6,600,1,1
0.55LKM-800L,6,800,1,1
0.58LKM-1000L,6,1000,1,1
0.65LKM-1200L,6,1200,1,1
0.546LKM-600L,6,600,1,1
0.715LKM-800L,6,800,1,1
0.754LKM-1000L,6,1000,1,1
0.845LKM-1200L,6,1200,1,1
0.42LKM-600L,7,600,1,1
0.55LKM-800L,7,800,1,1
0.58LKM-1000L,7,1000,1,1
0.65LKM-1200L,7,1200,1,1
0.546LKM-600L,7,600,1,1
0.715LKM-800L,7,800,1,1
0.754LKM-1000L,7,1000,1,1
0.845LKM-1200L,7,1200,1,1
0.42LKM-600L,8,600,1,1
0.55LKM-800L,8,800,1,1
0.58LKM-1000L,8,1000,1,1
0.65LKM-1200L,8,1200,1,1
0.546LKM-600L,8,600,1,1
0.715LKM-800L,8,800,1,1
0.754LKM-1000L,8,1000,1,1
0.845LKM-1200L,8,1200,1,1
0.42LKM-600L,9,600,1,1
0.55LKM-800L,9,800,1,1
0.58LKM-1000L,9,1000,1,1
0.65LKM-1200L,9,1200,1,1
0.546LKM-600L,9,600,1,1
0.715LKM-800L,9,800,1,1
0.754LKM-1000L,9,1000,1,1
0.845LKM-1200L,9,1200,1,1
