COD_NODE1,COD_NODE2
1002,1002
1002,1002-1
1002,1002-2
1025,1025
1025,1025-1
1026,1026
1026,1026-1
1028,1028
1029,1029
1029,1029-1
1033,1033
1101,1101
1101,1101-1
1112,1112
1124,1124
1124,1124-1
1124,1124-2
1137,1137
1137,1137-1
1159,1159
1159,1159-1
1186,1186
1186,1186-1
1186,1186-2
1221,1221
1225,1225
1225,1225-1
1231,1231
1231,1231-1
1231,1231-2
1236,1236
1236,1236-1
125,125
127,127
127,127-1
1273,1273
1273,1273-1
1289,1289
1289,1289-1
1300,1300
1303,1303
1365,1365
1368,1368
1368,1368-1
1384,1384
1384,1384-1
1401,1401
1404,1404
1404,1404-1
141,141
141,141-1
1410,1410
1410,1410-1
1410,1410-2
1415,1415
1421,1421
1421,1421-1
1421,1421-2
1430,1430
1432,1432
1434,1434
1442,1442
1442,1442-1
1451,1451
1452,1452
1460,1460
1460,1460-1
1460,1460-2
1462,1462
1462,1462-1
1474,1474
1490,1490
1490,1490-1
1490,1490-2
1498,1498
15,15
1502,1502
1502,1502-1
1502,1502-2
1504,1504
1508,1508
1539,1539
1539,1539-1
1554,1554
1556,1556
1556,1556-1
1576,1576
1576,1576-1
1591,1591
1596,1596
1596,1596-1
1600,1600
1614,1614
1636,1636
1636,1636-1
1658,1658
1671,1671
1672,1672
1672,1672-1
1677,1677
1677,1677-1
1802,1802
1837,1837
186,186
19,19
19,19-1
1967,1967
1978,1978
1979,1979
20,20
2143,2143
2143,2143-1
2143,2143-2
2183,2183
2183,2183-1
2183,2183-2
2204,2204
2204,2204-1
2210,2210
2210,2210-1
2216,2216
2216,2216-1
2216,2216-2
2220,2220
2221,2221
2221,2221-1
2221,2221-2
2226,2226
2226,2226-1
2226,2226-2
2231,2231
2231,2231-1
2231,2231-2
2233,2233
2233,2233-1
2233,2233-2
2241,2241
2241,2241-1
2242,2242
2242,2242-1
2246,2246
2246,2246-1
2246,2246-2
2249,2249
2249,2249-1
2252,2252
2252,2252-1
2252,2252-2
2260,2260
2260,2260-1
2266,2266
2266,2266-1
2267,2267
2267,2267-1
2268,2268
2268,2268-1
2277,2277
2279,2279
2279,2279-1
2279,2279-2
2284,2284
2284,2284-1
2284,2284-2
2291,2291
2292,2292
2296,2296
2296,2296-1
2328,2328
2328,2328-1
2328,2328-2
2330,2330
2330,2330-1
2330,2330-2
2336,2336
2336,2336-1
2404,2404
2404,2404-1
2410,2410
2474,2474
2521,2521
2548,2548
2550,2550
2550,2550-1
2550,2550-2
2561,2561
2561,2561-1
2565,2565
2565,2565-1
2565,2565-2
2644,2644
271,271
272,272
274,274
274,274-1
28,28
2802,2802
2802,2802-1
2802,2802-2
2806,2806
2806,2806-1
2806,2806-2
2887,2887
3015,3015
3024,3024
3024,3024-1
3044,3044
3052,3052
3052,3052-1
3058,3058
3058,3058-1
3061,3061
3061,3061-1
3147,3147
3147,3147-1
3147,3147-2
3189,3189
3212,3212
3217,3217
3222,3222
3222,3222-1
3226,3226
3226,3226-1
3229,3229
3229,3229-1
3229,3229-2
3231,3231
3240,3240
3240,3240-1
3243,3243
3253,3253
3253,3253-1
3255,3255
3275,3275
3275,3275-1
3278,3278
3283,3283
3289,3289
3289,3289-1
3293,3293
3293,3293-1
3295,3295
3295,3295-1
3301,3301
3301,3301-1
3301,3301-2
332,332
332,332-1
3321,3321
3377,3377
3415,3415
3415,3415-1
345,345
345,345-1
3452,3452
3452,3452-1
346,346
346,346-1
347,347
347,347-1
3502,3502
3510,3510
3510,3510-1
3510,3510-2
3662,3662
3662,3662-1
3662,3662-2
3673,3673
3682,3682
3682,3682-1
37,37
37,37-1
37,37-2
3707,3707
3716,3716
3716,3716-1
3718,3718
3722,3722
3722,3722-1
3725,3725
3725,3725-1
3754,3754
3754,3754-1
3806,3806
3811,3811
3877,3877
3911,3911
3913,3913
3916,3916
3931,3931
3931,3931-1
3940,3940
3940,3940-1
3973,3973
3988,3988
4115,4115
4115,4115-1
4117,4117
4134,4134
416,416
4170,4170
421,421
4212,4212
4227,4227
4227,4227-1
4251,4251
4257,4257
4262,4262
4262,4262-1
4263,4263
4280,4280
4280,4280-1
4280,4280-2
4326,4326
4361,4361
4361,4361-1
4361,4361-2
4382,4382
442,442
4447,4447
4447,4447-1
4452,4452
4460,4460
4460,4460-1
4528,4528
4528,4528-1
4599,4599
4599,4599-1
465,465
465,465-1
465,465-2
4696,4696
4696,4696-1
4696,4696-2
4728,4728
474,474
4744,4744
4751,4751
4756,4756
484,484
4995,4995
5057,5057
5057,5057-1
51,51
52,52
5222,5222
5222,5222-1
5367,5367
5367,5367-1
5413,5413
5413,5413-1
5413,5413-2
5414,5414
5420,5420
5424,5424
5435,5435
5435,5435-1
5435,5435-2
5436,5436
5436,5436-1
5436,5436-2
5451,5451
5452,5452
5455,5455
5455,5455-1
5457,5457
5458,5458
5477,5477
5477,5477-1
5477,5477-2
5478,5478
5489,5489
5489,5489-1
5506,5506
5506,5506-1
5508,5508
5509,5509
5520,5520
5520,5520-1
5539,5539
5549,5549
5549,5549-1
5549,5549-2
5565,5565
5565,5565-1
5567,5567
5567,5567-1
557,557
5571,5571
5582,5582
559,559
559,559-1
5591,5591
5591,5591-1
5597,5597
5598,5598
5683,5683
5683,5683-1
5683,5683-2
5707,5707
5720,5720
5720,5720-1
5720,5720-2
5730,5730
5730,5730-1
5730,5730-2
574,574
574,574-1
5748,5748
5758,5758
5759,5759
5782,5782
5782,5782-1
583,583
5846,5846
5846,5846-1
588,588
59,59
5908,5908
5908,5908-1
5909,5909
5909,5909-1
5921,5921
5931,5931
5954,5954
5987,5987
5987,5987-1
6037,6037
6396,6396
6396,6396-1
6396,6396-2
6845,6845
6945,6945
6945,6945-1
6951,6951
6951,6951-1
6951,6951-2
699,699
6999,6999
7010,7010
7010,7010-1
7020,7020
7020,7020-1
7073,7073
7073,7073-1
7076,7076
7076,7076-1
7176,7176
7176,7176-1
7188,7188
7188,7188-1
7191,7191
7192,7192
7192,7192-1
7194,7194
7194,7194-1
7195,7195
7195,7195-1
7202,7202
7202,7202-1
7202,7202-2
7240,7240
7240,7240-1
7252,7252
7256,7256
7256,7256-1
7262,7262
7262,7262-1
7262,7262-2
7299,7299
7299,7299-1
7301,7301
7319,7319
7319,7319-1
7319,7319-2
7326,7326
7333,7333
7353,7353
7367,7367
7380,7380
7380,7380-1
7381,7381
7381,7381-1
7396,7396
7396,7396-1
7404,7404
7409,7409
7420,7420
7420,7420-1
7446,7446
7446,7446-1
7446,7446-2
7449,7449
7449,7449-1
7449,7449-2
7453,7453
7453,7453-1
7462,7462
7463,7463
7464,7464
7466,7466
7469,7469
7470,7470
7471,7471
7473,7473
7480,7480
7480,7480-1
7484,7484
7484,7484-1
7485,7485
7485,7485-1
7487,7487
7488,7488
7495,7495
7495,7495-1
7495,7495-2
759,759
759,759-1
7616,7616
7625,7625
7625,7625-1
7628,7628
7652,7652
7652,7652-1
7652,7652-2
7653,7653
7653,7653-1
7653,7653-2
7661,7661
7661,7661-1
767,767
767,767-1
7676,7676
7676,7676-1
7678,7678
7678,7678-1
7678,7678-2
7689,7689
7689,7689-1
7689,7689-2
7693,7693
7693,7693-1
7693,7693-2
7694,7694
7694,7694-1
7696,7696
7698,7698
7699,7699
7706,7706
7706,7706-1
7707,7707
7715,7715
7715,7715-1
7716,7716
7719,7719
7726,7726
7726,7726-1
7727,7727
7731,7731
7735,7735
7735,7735-1
7735,7735-2
7738,7738
7746,7746
7746,7746-1
7748,7748
7749,7749
7750,7750
7750,7750-1
7753,7753
7754,7754
7754,7754-1
7754,7754-2
7759,7759
7759,7759-1
7760,7760
7760,7760-1
7764,7764
7768,7768
7773,7773
7773,7773-1
7773,7773-2
7774,7774
7774,7774-1
7774,7774-2
7780,7780
7780,7780-1
7780,7780-2
7781,7781
7782,7782
7782,7782-1
7786,7786
7787,7787
7790,7790
7790,7790-1
7790,7790-2
7793,7793
7793,7793-1
7795,7795
7795,7795-1
7795,7795-2
7808,7808
7808,7808-1
7808,7808-2
782,782
7826,7826
7836,7836
7842,7842
7842,7842-1
7843,7843
7843,7843-1
7847,7847
7847,7847-1
7848,7848
7850,7850
7850,7850-1
7895,7895
7903,7903
7903,7903-1
8058,8058
8058,8058-1
8064,8064
8064,8064-1
810,810
810,810-1
810,810-2
8107,8107
8107,8107-1
811,811
811,811-1
817,817
817,817-1
82,82
827,827
830,830
830,830-1
830,830-2
8363,8363
837,837
8467,8467
8467,8467-1
848,848
848,848-1
8491,8491
8491,8491-1
8491,8491-2
8499,8499
8516,8516
8516,8516-1
8528,8528
8528,8528-1
8589,8589
8590,8590
8590,8590-1
8598,8598
8598,8598-1
8610,8610
8610,8610-1
9005,9005
920,920
920,920-1
920,920-2
923,923
923,923-1
926,926
926,926-1
935,935
935,935-1
935,935-2
939,939
944,944
9495,9495
9495,9495-1
9499,9499
9508,9508
9518,9518
9518,9518-1
9542,9542
9542,9542-1
9544,9544
9544,9544-1
9547,9547
9552,9552
9552,9552-1
9562,9562
9569,9569
9569,9569-1
957,957
957,957-1
9575,9575
9575,9575-1
964,964
964,964-1
965,965
965,965-1
965,965-2
966,966
966,966-1
970,970
970,970-1
976,976
976,976-1
98,98
98,98-1
983,983
986,986
986,986-1
9965,9965
A005,A005
A005,A005-1
A019,A019
A022,A022
A045,A045
A047,A047
A058,A058
A072,A072
A074,A074
A074,A074-1
A084,A084
A107,A107
A107,A107-1
A115,A115
A117,A117
A117,A117-1
A149,A149
A149,A149-1
A149,A149-2
A150,A150
A150,A150-1
A150,A150-2
A153,A153
A153,A153-1
A153,A153-2
A157,A157
A157,A157-1
A157,A157-2
A176,A176
A176,A176-1
A200,A200
A200,A200-1
A204,A204
A204,A204-1
A205,A205
A205,A205-1
A218,A218
A218,A218-1
A234,A234
A235,A235
A235,A235-1
A262,A262
A268,A268
A271,A271
A291,A291
A296,A296
A296,A296-1
A301,A301
A301,A301-1
A305,A305
A307,A307
A307,A307-1
A316,A316
A316,A316-1
A316,A316-2
A320,A320
A328,A328
A331,A331
A347,A347
A356,A356
A356,A356-1
A356,A356-2
A362,A362
A388,A388
A388,A388-1
A392,A392
A392,A392-1
A399,A399
A399,A399-1
A400,A400
A402,A402
A402,A402-1
A402,A402-2
A403,A403
A403,A403-1
A404,A404
A404,A404-1
A404,A404-2
A408,A408
A421,A421
A421,A421-1
A425,A425
A425,A425-1
A426,A426
A426,A426-1
