COD_VEHICLE,COD_PATH,Start Inventory,Target Inventory,pQuantityVehicles,isFeasible
0.42LKM-600L,1,600,1,1,1
0.55LKM-800L,1,800,1,1,1
0.58LKM-1000L,1,1000,1,1,1
0.65LKM-1200L,1,1200,1,1,1
0.546LKM-600L,1,600,1,1,1
0.715LKM-800L,1,800,1,1,1
0.754LKM-1000L,1,1000,1,1,1
0.845LKM-1200L,1,1200,1,1,1
0.42LKM-600L,10,600,1,1,1
0.55LKM-800L,10,800,1,1,1
0.58LKM-1000L,10,1000,1,1,1
0.65LKM-1200L,10,1200,1,1,1
0.546LKM-600L,10,600,1,1,1
0.715LKM-800L,10,800,1,1,1
0.754LKM-1000L,10,1000,1,1,1
0.845LKM-1200L,10,1200,1,1,1
0.42LKM-600L,100,600,1,1,1
0.55LKM-800L,100,800,1,1,1
0.58LKM-1000L,100,1000,1,1,1
0.65LKM-1200L,100,1200,1,1,1
0.546LKM-600L,100,600,1,1,0
0.715LKM-800L,100,800,1,1,0
0.754LKM-1000L,100,1000,1,1,1
0.845LKM-1200L,100,1200,1,1,1
0.42LKM-600L,1000,600,1,1,1
0.55LKM-800L,1000,800,1,1,1
0.58LKM-1000L,1000,1000,1,1,1
0.65LKM-1200L,1000,1200,1,1,1
0.546LKM-600L,1000,600,1,1,0
0.715LKM-800L,1000,800,1,1,0
0.754LKM-1000L,1000,1000,1,1,1
0.845LKM-1200L,1000,1200,1,1,1
0.42LKM-600L,1001,600,1,1,1
0.55LKM-800L,1001,800,1,1,1
0.58LKM-1000L,1001,1000,1,1,1
0.65LKM-1200L,1001,1200,1,1,1
0.546LKM-600L,1001,600,1,1,1
0.715LKM-800L,1001,800,1,1,1
0.754LKM-1000L,1001,1000,1,1,1
0.845LKM-1200L,1001,1200,1,1,1
0.42LKM-600L,1002,600,1,1,1
0.55LKM-800L,1002,800,1,1,1
0.58LKM-1000L,1002,1000,1,1,1
0.65LKM-1200L,1002,1200,1,1,1
0.546LKM-600L,1002,600,1,1,1
0.715LKM-800L,1002,800,1,1,1
0.754LKM-1000L,1002,1000,1,1,1
0.845LKM-1200L,1002,1200,1,1,1
0.42LKM-600L,1003,600,1,1,1
0.55LKM-800L,1003,800,1,1,1
0.58LKM-1000L,1003,1000,1,1,1
0.65LKM-1200L,1003,1200,1,1,1
0.546LKM-600L,1003,600,1,1,1
0.715LKM-800L,1003,800,1,1,1
0.754LKM-1000L,1003,1000,1,1,1
0.845LKM-1200L,1003,1200,1,1,1
0.42LKM-600L,1004,600,1,1,1
0.55LKM-800L,1004,800,1,1,1
0.58LKM-1000L,1004,1000,1,1,1
0.65LKM-1200L,1004,1200,1,1,1
0.546LKM-600L,1004,600,1,1,1
0.715LKM-800L,1004,800,1,1,1
0.754LKM-1000L,1004,1000,1,1,1
0.845LKM-1200L,1004,1200,1,1,1
0.42LKM-600L,1005,600,1,1,1
0.55LKM-800L,1005,800,1,1,1
0.58LKM-1000L,1005,1000,1,1,1
0.65LKM-1200L,1005,1200,1,1,1
0.546LKM-600L,1005,600,1,1,1
0.715LKM-800L,1005,800,1,1,1
0.754LKM-1000L,1005,1000,1,1,1
0.845LKM-1200L,1005,1200,1,1,1
0.42LKM-600L,1006,600,1,1,1
0.55LKM-800L,1006,800,1,1,1
0.58LKM-1000L,1006,1000,1,1,1
0.65LKM-1200L,1006,1200,1,1,1
0.546LKM-600L,1006,600,1,1,0
0.715LKM-800L,1006,800,1,1,0
0.754LKM-1000L,1006,1000,1,1,1
0.845LKM-1200L,1006,1200,1,1,1
0.42LKM-600L,1007,600,1,1,1
0.55LKM-800L,1007,800,1,1,1
0.58LKM-1000L,1007,1000,1,1,1
0.65LKM-1200L,1007,1200,1,1,1
0.546LKM-600L,1007,600,1,1,1
0.715LKM-800L,1007,800,1,1,1
0.754LKM-1000L,1007,1000,1,1,1
0.845LKM-1200L,1007,1200,1,1,1
