COD_VEHICLE,COD_PATH,Start Inventory,Target Inventory,pQuantityVehicles
0.42LKM-600L,1,600,1,1
0.42LKM-600L,10,600,1,1
0.42LKM-600L,100,600,1,1
0.42LKM-600L,1000,600,1,1
0.42LKM-600L,1001,600,1,1
0.42LKM-600L,1002,600,1,1
0.42LKM-600L,1003,600,1,1
0.42LKM-600L,1004,600,1,1
0.42LKM-600L,1005,600,1,1
0.42LKM-600L,1006,600,1,1
0.42LKM-600L,1007,600,1,1
0.42LKM-600L,1008,600,1,1
0.42LKM-600L,1009,600,1,1
0.42LKM-600L,101,600,1,1
0.42LKM-600L,1010,600,1,1
0.42LKM-600L,1011,600,1,1
0.42LKM-600L,1012,600,1,1
0.42LKM-600L,1013,600,1,1
0.42LKM-600L,1014,600,1,1
0.42LKM-600L,1015,600,1,1
0.42LKM-600L,1016,600,1,1
0.42LKM-600L,1017,600,1,1
0.42LKM-600L,1018,600,1,1
0.42LKM-600L,1019,600,1,1
0.42LKM-600L,102,600,1,1
0.42LKM-600L,1020,600,1,1
0.42LKM-600L,1021,600,1,1
0.42LKM-600L,1022,600,1,1
0.42LKM-600L,1023,600,1,1
0.42LKM-600L,1024,600,1,1
0.42LKM-600L,1025,600,1,1
0.42LKM-600L,1026,600,1,1
0.42LKM-600L,1027,600,1,1
0.42LKM-600L,1028,600,1,1
0.42LKM-600L,1029,600,1,1
0.42LKM-600L,103,600,1,1
0.42LKM-600L,1030,600,1,1
0.42LKM-600L,1031,600,1,1
0.42LKM-600L,1032,600,1,1
0.42LKM-600L,1033,600,1,1
0.42LKM-600L,1034,600,1,1
0.42LKM-600L,1035,600,1,1
0.42LKM-600L,1036,600,1,1
0.42LKM-600L,1037,600,1,1
0.42LKM-600L,1038,600,1,1
0.42LKM-600L,1039,600,1,1
0.42LKM-600L,104,600,1,1
0.42LKM-600L,1040,600,1,1
0.42LKM-600L,1041,600,1,1
0.42LKM-600L,1042,600,1,1
0.42LKM-600L,1043,600,1,1
0.42LKM-600L,1044,600,1,1
0.42LKM-600L,1045,600,1,1
0.42LKM-600L,1046,600,1,1
0.42LKM-600L,1047,600,1,1
0.42LKM-600L,1048,600,1,1
0.42LKM-600L,1049,600,1,1
0.42LKM-600L,105,600,1,1
0.42LKM-600L,1050,600,1,1
0.42LKM-600L,1051,600,1,1
0.42LKM-600L,1052,600,1,1
0.42LKM-600L,1053,600,1,1
0.42LKM-600L,1054,600,1,1
0.42LKM-600L,1055,600,1,1
0.42LKM-600L,1056,600,1,1
0.42LKM-600L,1057,600,1,1
0.42LKM-600L,1058,600,1,1
0.42LKM-600L,1059,600,1,1
0.42LKM-600L,106,600,1,1
0.42LKM-600L,1060,600,1,1
0.42LKM-600L,1061,600,1,1
0.42LKM-600L,1062,600,1,1
0.42LKM-600L,1063,600,1,1
0.42LKM-600L,1064,600,1,1
0.42LKM-600L,1065,600,1,1
0.42LKM-600L,1066,600,1,1
0.42LKM-600L,1067,600,1,1
0.42LKM-600L,1068,600,1,1
0.42LKM-600L,1069,600,1,1
0.42LKM-600L,107,600,1,1
0.42LKM-600L,1070,600,1,1
0.42LKM-600L,1071,600,1,1
0.42LKM-600L,1072,600,1,1
0.42LKM-600L,1073,600,1,1
0.42LKM-600L,1074,600,1,1
0.42LKM-600L,1075,600,1,1
0.42LKM-600L,1076,600,1,1
0.42LKM-600L,1077,600,1,1
0.42LKM-600L,1078,600,1,1
0.42LKM-600L,1079,600,1,1
