COD_NODE1,COD_NODE2
100,100
100,100-1
100,100-2
100,100-3
1002,1002
1002,1002-1
1002,1002-2
1002,1002-3
1002,1002-4
1002,1002-5
1002,1002-6
1025,1025
1025,1025-1
1025,1025-2
1025,1025-3
1025,1025-4
1025,1025-5
1026,1026
1026,1026-1
1026,1026-2
1026,1026-3
1026,1026-4
1026,1026-5
1026,1026-6
1026,1026-7
1028,1028
1028,1028-1
1028,1028-2
1028,1028-3
1028,1028-4
1028,1028-5
1029,1029
1029,1029-1
1029,1029-2
1029,1029-3
1029,1029-4
1029,1029-5
1033,1033
1033,1033-1
1033,1033-2
1033,1033-3
1035,1035
1035,1035-1
1037,1037
1037,1037-1
1037,1037-2
1037,1037-3
1047,1047
1047,1047-1
1047,1047-2
108,108
108,108-1
1101,1101
1101,1101-1
1101,1101-2
1101,1101-3
1112,1112
1112,1112-1
1112,1112-2
1124,1124
1124,1124-1
1124,1124-2
1124,1124-3
1124,1124-4
1124,1124-5
1137,1137
1137,1137-1
1137,1137-2
1137,1137-3
1148,1148
1159,1159
1159,1159-1
1159,1159-2
1159,1159-3
1159,1159-4
1159,1159-5
1186,1186
1186,1186-1
1186,1186-2
1186,1186-3
1186,1186-4
1186,1186-5
1221,1221
1221,1221-1
1221,1221-2
1221,1221-3
1221,1221-4
1225,1225
1225,1225-1
1225,1225-2
1225,1225-3
1225,1225-4
1225,1225-5
1231,1231
1231,1231-1
1231,1231-2
1231,1231-3
1231,1231-4
1231,1231-5
1231,1231-6
1236,1236
1236,1236-1
1236,1236-2
1236,1236-3
1236,1236-4
1245,1245
1245,1245-1
1245,1245-2
1245,1245-3
125,125
125,125-1
125,125-2
127,127
127,127-1
127,127-2
127,127-3
127,127-4
127,127-5
127,127-6
127,127-7
1273,1273
1273,1273-1
1273,1273-2
1273,1273-3
1273,1273-4
1273,1273-5
1285,1285
1285,1285-1
1285,1285-2
1285,1285-3
1285,1285-4
1285,1285-5
1289,1289
1289,1289-1
1289,1289-2
1289,1289-3
1289,1289-4
1289,1289-5
1300,1300
1300,1300-1
1300,1300-2
1300,1300-3
1300,1300-4
1303,1303
1303,1303-1
1303,1303-2
1303,1303-3
1303,1303-4
1316,1316
1316,1316-1
1316,1316-2
1323,1323
1365,1365
1365,1365-1
1365,1365-2
1365,1365-3
1368,1368
1368,1368-1
1368,1368-2
1368,1368-3
1368,1368-4
1368,1368-5
1384,1384
1384,1384-1
1384,1384-2
1384,1384-3
1384,1384-4
1397,1397
1397,1397-1
1397,1397-2
1397,1397-3
1397,1397-4
1397,1397-5
1397,1397-6
1401,1401
1401,1401-1
1401,1401-2
1401,1401-3
1401,1401-4
1404,1404
1404,1404-1
1404,1404-2
1404,1404-3
1404,1404-4
141,141
141,141-1
141,141-2
141,141-3
141,141-4
141,141-5
141,141-6
141,141-7
1410,1410
1410,1410-1
1410,1410-2
1410,1410-3
1410,1410-4
1410,1410-5
1415,1415
1415,1415-1
1415,1415-2
1421,1421
1421,1421-1
1421,1421-2
1421,1421-3
1421,1421-4
1421,1421-5
1429,1429
1429,1429-1
1429,1429-2
1430,1430
1430,1430-1
1430,1430-2
1430,1430-3
1432,1432
1434,1434
1434,1434-1
1434,1434-2
1442,1442
1442,1442-1
1442,1442-2
1442,1442-3
1442,1442-4
1442,1442-5
1451,1451
1451,1451-1
1451,1451-2
1451,1451-3
1451,1451-4
1452,1452
1452,1452-1
1452,1452-2
1452,1452-3
1460,1460
1460,1460-1
1460,1460-2
1460,1460-3
1460,1460-4
1460,1460-5
1462,1462
1462,1462-1
1462,1462-2
1462,1462-3
1462,1462-4
1462,1462-5
1463,1463
1463,1463-1
1474,1474
1474,1474-1
1474,1474-2
1474,1474-3
1474,1474-4
1483,1483
1483,1483-1
1489,1489
1489,1489-1
1489,1489-2
1490,1490
1490,1490-1
1490,1490-2
1490,1490-3
1490,1490-4
1490,1490-5
1490,1490-6
1491,1491
1491,1491-1
1491,1491-2
1496,1496
1496,1496-1
1498,1498
1498,1498-1
1498,1498-2
1498,1498-3
15,15
15,15-1
15,15-2
1502,1502
1502,1502-1
1502,1502-2
1502,1502-3
1502,1502-4
1502,1502-5
1504,1504
1504,1504-1
1504,1504-2
1504,1504-3
1508,1508
1526,1526
1526,1526-1
1539,1539
1539,1539-1
1539,1539-2
1539,1539-3
1548,1548
1548,1548-1
1554,1554
1554,1554-1
1554,1554-2
1554,1554-3
1556,1556
1556,1556-1
1556,1556-2
1556,1556-3
1556,1556-4
1576,1576
1576,1576-1
1576,1576-2
1576,1576-3
1591,1591
1591,1591-1
1591,1591-2
1591,1591-3
1591,1591-4
1596,1596
1596,1596-1
1596,1596-2
1596,1596-3
1599,1599
1599,1599-1
1599,1599-2
1600,1600
1600,1600-1
1600,1600-2
1600,1600-3
1614,1614
1614,1614-1
1614,1614-2
1624,1624
1624,1624-1
1625,1625
1625,1625-1
1625,1625-2
1629,1629
1629,1629-1
1636,1636
1636,1636-1
1636,1636-2
1658,1658
1658,1658-1
1658,1658-2
1666,1666
1666,1666-1
1671,1671
1671,1671-1
1671,1671-2
1671,1671-3
1671,1671-4
1672,1672
1672,1672-1
1672,1672-2
1672,1672-3
1672,1672-4
1677,1677
1677,1677-1
1677,1677-2
1677,1677-3
1677,1677-4
1684,1684
1749,1749
1749,1749-1
1802,1802
1802,1802-1
1802,1802-2
1802,1802-3
1802,1802-4
1837,1837
1837,1837-1
1837,1837-2
1837,1837-3
1837,1837-4
1837,1837-5
1837,1837-6
186,186
186,186-1
186,186-2
19,19
19,19-1
19,19-2
19,19-3
19,19-4
1913,1913
1913,1913-1
1913,1913-2
1913,1913-3
1913,1913-4
1913,1913-5
1967,1967
1967,1967-1
1967,1967-2
1967,1967-3
1977,1977
1977,1977-1
1977,1977-2
1978,1978
1978,1978-1
1979,1979
1979,1979-1
1979,1979-2
1979,1979-3
20,20
20,20-1
2022,2022
2115,2115
2127,2127
2127,2127-1
2127,2127-2
2127,2127-3
2143,2143
