COD_NODE1,COD_NODE2
1002,1002
1002,1002-1
1002,1002-2
1025,1025
1026,1026
1026,1026-1
1026,1026-2
1026,1026-3
1029,1029
1029,1029-1
1047,1047
1101,1101
1124,1124
1124,1124-1
1124,1124-2
1159,1159
1186,1186
1186,1186-1
1186,1186-2
1221,1221
1231,1231
1231,1231-1
1231,1231-2
1236,1236
1245,1245
125,125
127,127
1273,1273
1289,1289
1300,1300
1303,1303
1368,1368
1397,1397
1401,1401
1404,1404
141,141
141,141-1
1410,1410
1410,1410-1
1415,1415
1421,1421
1421,1421-1
1429,1429
1430,1430
1432,1432
1434,1434
1442,1442
1442,1442-1
1451,1451
1452,1452
1460,1460
1460,1460-1
1462,1462
1462,1462-1
1463,1463
1474,1474
1490,1490
1490,1490-1
15,15
1502,1502
1502,1502-1
1504,1504
1548,1548
1554,1554
1556,1556
1591,1591
1599,1599
1600,1600
1614,1614
1658,1658
1666,1666
1671,1671
1672,1672
1677,1677
1802,1802
1837,1837
1967,1967
1977,1977
1979,1979
2143,2143
2143,2143-1
2143,2143-2
2183,2183
2183,2183-1
2183,2183-2
2199,2199
2199,2199-1
2204,2204
2204,2204-1
2209,2209
2210,2210
2212,2212
2212,2212-1
2216,2216
2216,2216-1
2216,2216-2
2220,2220
2221,2221
2221,2221-1
2221,2221-2
2226,2226
2226,2226-1
2226,2226-2
2231,2231
2231,2231-1
2231,2231-2
2233,2233
2233,2233-1
2233,2233-2
2241,2241
2246,2246
2246,2246-1
2246,2246-2
2249,2249
2249,2249-1
2252,2252
2252,2252-1
2252,2252-2
2259,2259
2260,2260
2265,2265
2266,2266
2267,2267
2267,2267-1
2268,2268
2277,2277
2279,2279
2279,2279-1
2279,2279-2
2284,2284
2284,2284-1
2284,2284-2
2291,2291
2292,2292
2292,2292-1
2296,2296
2296,2296-1
2296,2296-2
2328,2328
2328,2328-1
2328,2328-2
2330,2330
2330,2330-1
2330,2330-2
2404,2404
2404,2404-1
2452,2452
2493,2493
250,250
250,250-1
2550,2550
2550,2550-1
2561,2561
2565,2565
2572,2572
2644,2644
271,271
271,271-1
272,272
272,272-1
274,274
274,274-1
2802,2802
2802,2802-1
2802,2802-2
2806,2806
2806,2806-1
2806,2806-2
2887,2887
2967,2967
3024,3024
3024,3024-1
3024,3024-2
3052,3052
3052,3052-1
3058,3058
3058,3058-1
3061,3061
3061,3061-1
3147,3147
3147,3147-1
3147,3147-2
3189,3189
3222,3222
3222,3222-1
3226,3226
3226,3226-1
3229,3229
3229,3229-1
3229,3229-2
3231,3231
3240,3240
3240,3240-1
3253,3253
3253,3253-1
3275,3275
3275,3275-1
3289,3289
3289,3289-1
3293,3293
3293,3293-1
3295,3295
3295,3295-1
3301,3301
3301,3301-1
3304,3304
332,332
3415,3415
3415,3415-1
3452,3452
3452,3452-1
346,346
347,347
3510,3510
3510,3510-1
3600,3600
3662,3662
3662,3662-1
3673,3673
3682,3682
3682,3682-1
37,37
37,37-1
3716,3716
3722,3722
3722,3722-1
3725,3725
3725,3725-1
3754,3754
3754,3754-1
383,383
3857,3857
3931,3931
3931,3931-1
3940,3940
4115,4115
4148,4148
415,415
4170,4170
4208,4208
4208,4208-1
4212,4212
4227,4227
4251,4251
4257,4257
4262,4262
4262,4262-1
4263,4263
4280,4280
4280,4280-1
4294,4294
4294,4294-1
4361,4361
4361,4361-1
4382,4382
4421,4421
4447,4447
4452,4452
4528,4528
465,465
465,465-1
4696,4696
4696,4696-1
4696,4696-2
4728,4728
4878,4878
4888,4888
4995,4995
5057,5057
5057,5057-1
5222,5222
5362,5362
5413,5413
5413,5413-1
5435,5435
5435,5435-1
5436,5436
5436,5436-1
5477,5477
5477,5477-1
5477,5477-2
5478,5478
5508,5508
5520,5520
5549,5549
5549,5549-1
5549,5549-2
5567,5567
5567,5567-1
5582,5582
5586,5586
559,559
559,559-1
5591,5591
5597,5597
5656,5656
5683,5683
5683,5683-1
5683,5683-2
5707,5707
5720,5720
5720,5720-1
5720,5720-2
5730,5730
5730,5730-1
5730,5730-2
5731,5731
5731,5731-1
574,574
574,574-1
5748,5748
5782,5782
5782,5782-1
5846,5846
5846,5846-1
5871,5871
5871,5871-1
5896,5896
5908,5908
5908,5908-1
5909,5909
5909,5909-1
5987,5987
5987,5987-1
6396,6396
6396,6396-1
6396,6396-2
65,65
6535,6535
6795,6795
6844,6844
685,685
6945,6945
6945,6945-1
6945,6945-2
6951,6951
6951,6951-1
6951,6951-2
6989,6989
6989,6989-1
699,699
699,699-1
6999,6999
7010,7010
7010,7010-1
7020,7020
7020,7020-1
7073,7073
7076,7076
7176,7176
7176,7176-1
7194,7194
7195,7195
7195,7195-1
7202,7202
7202,7202-1
7240,7240
7240,7240-1
7240,7240-2
7240,7240-3
7256,7256
7256,7256-1
7262,7262
7262,7262-1
7299,7299
7299,7299-1
7301,7301
7310,7310
7319,7319
7319,7319-1
7319,7319-2
7326,7326
7333,7333
7367,7367
7372,7372
7381,7381
7396,7396
7404,7404
7409,7409
7420,7420
7420,7420-1
7439,7439
7440,7440
7446,7446
7446,7446-1
7446,7446-2
7449,7449
7449,7449-1
7453,7453
7463,7463
7466,7466
7468,7468
7473,7473
7480,7480
7495,7495
7495,7495-1
7495,7495-2
759,759
7652,7652
7652,7652-1
7652,7652-2
7653,7653
7653,7653-1
7653,7653-2
7656,7656
7661,7661
7661,7661-1
7667,7667
7667,7667-1
767,767
767,767-1
7676,7676
7678,7678
7678,7678-1
7678,7678-2
7689,7689
7689,7689-1
7689,7689-2
7693,7693
7694,7694
7707,7707
7708,7708
7726,7726
7731,7731
7733,7733
7735,7735
7735,7735-1
7735,7735-2
7746,7746
7746,7746-1
7750,7750
7750,7750-1
7754,7754
7754,7754-1
7759,7759
7760,7760
7764,7764
7773,7773
7773,7773-1
7773,7773-2
7774,7774
7774,7774-1
7774,7774-2
7780,7780
7780,7780-1
7782,7782
7782,7782-1
7786,7786
7787,7787
7790,7790
7790,7790-1
7793,7793
7793,7793-1
7795,7795
7795,7795-1
7795,7795-2
7808,7808
7808,7808-1
7808,7808-2
7826,7826
7847,7847
7903,7903
7904,7904
8058,8058
8058,8058-1
8064,8064
8094,8094
8094,8094-1
810,810
810,810-1
810,810-2
8108,8108
811,811
811,811-1
811,811-2
811,811-3
817,817
817,817-1
82,82
82,82-1
827,827
830,830
830,830-1
8363,8363
8392,8392
848,848
8491,8491
8491,8491-1
8491,8491-2
8516,8516
852,852
8528,8528
8589,8589
8590,8590
8598,8598
8598,8598-1
8608,8608
8610,8610
920,920
920,920-1
923,923
926,926
926,926-1
935,935
935,935-1
939,939
944,944
944,944-1
9495,9495
9495,9495-1
9495,9495-2
9499,9499
9518,9518
9518,9518-1
9518,9518-2
9542,9542
9542,9542-1
9544,9544
9544,9544-1
9547,9547
9547,9547-1
9552,9552
9562,9562
9562,9562-1
9568,9568
9569,9569
957,957
957,957-1
957,957-2
9575,9575
964,964
964,964-1
965,965
965,965-1
966,966
966,966-1
970,970
970,970-1
976,976
976,976-1
98,98
98,98-1
983,983
986,986
A005,A005
A027,A027
A059,A059
A074,A074
A074,A074-1
A084,A084
A084,A084-1
A107,A107
A107,A107-1
A115,A115
A115,A115-1
A117,A117
A117,A117-1
A137,A137
A150,A150
A150,A150-1
A150,A150-2
A153,A153
A153,A153-1
A153,A153-2
A157,A157
A157,A157-1
A157,A157-2
A176,A176
A205,A205
A205,A205-1
A216,A216
A218,A218
A218,A218-1
A234,A234
A235,A235
A235,A235-1
A235,A235-2
A262,A262
A271,A271
A291,A291
A296,A296
A296,A296-1
A301,A301
A307,A307
A316,A316
A316,A316-1
A320,A320
A326,A326
A356,A356
A356,A356-1
A356,A356-2
A362,A362
A362,A362-1
A388,A388
A388,A388-1
A392,A392
A399,A399
A399,A399-1
A400,A400
A402,A402
A402,A402-1
A402,A402-2
A403,A403
A404,A404
A404,A404-1
A404,A404-2
A408,A408
A421,A421
A425,A425
A425,A425-1
A426,A426
A426,A426-1
A426,A426-2
A427,A427
A427,A427-1
A429,A429
A429,A429-1
A429,A429-2
A432,A432
A432,A432-1
A432,A432-2
A435,A435
A436,A436
A436,A436-1
A436,A436-2
A441,A441
A441,A441-1
A441,A441-2
A441,A441-3
A442,A442
A442,A442-1
A446,A446
A446,A446-1
A454,A454
A465,A465
A465,A465-1
A470,A470
A470,A470-1
A471,A471
A471,A471-1
A501,A501
A510,A510
A510,A510-1
A510,A510-2
A511,A511
A512,A512
A520,A520
A533,A533
A533,A533-1
A533,A533-2
A539,A539
A539,A539-1
A546,A546
A546,A546-1
A550,A550
A563,A563
A566,A566
A580,A580
A606,A606
A606,A606-1
A628,A628
A640,A640
A640,A640-1
A640,A640-2
A649,A649
A649,A649-1
A649,A649-2
A678,A678
A712,A712
A723,A723
A730,A730
A900,A900
A900,A900-1
A900,A900-2
A901,A901
A901,A901-1
A901,A901-2
A905,A905
A905,A905-1
A905,A905-2
A906,A906
A906,A906-1
A907,A907
B055,B055
B055,B055-1
B055,B055-2
B089,B089
B402,B402
B406,B406
B442,B442
B442,B442-1
B517,B517
B517,B517-1
B518,B518
B541,B541
B542,B542
B544,B544
B544,B544-1
B544,B544-2
B559,B559
B573,B573
B617,B617
B677,B677
B715,B715
B715,B715-1
B715,B715-2
B767,B767
B767,B767-1
B767,B767-2
B770,B770
B777,B777
B782,B782
B782,B782-1
B782,B782-2
B786,B786
B800,B800
B812,B812
B907,B907
B907,B907-1
B907,B907-2
B933,B933
B938,B938
B950,B950
B972,B972
B997,B997
B997,B997-1
B997,B997-2
B998,B998
B998,B998-1
B998,B998-2
B998,B998-3
F025,F025
F025,F025-1
F042,F042
F042,F042-1
F050,F050
F050,F050-1
F053,F053
F071,F071
F071,F071-1
F081,F081
F111,F111
F160,F160
F160,F160-1
F165,F165
F166,F166
F174,F174
F174,F174-1
F210,F210
F240,F240
F240,F240-1
F242,F242
F249,F249
F252,F252
F252,F252-1
F255,F255
F255,F255-1
F256,F256
F256,F256-1
F257,F257
F257,F257-1
F258,F258
F258,F258-1
F269,F269
F269,F269-1
F270,F270
F270,F270-1
F272,F272
F272,F272-1
F273,F273
F273,F273-1
F278,F278
F278,F278-1
F279,F279
F279,F279-1
F281,F281
F281,F281-1
F284,F284
F284,F284-1
F288,F288
F288,F288-1
F305,F305
F305,F305-1
F309,F309
F309,F309-1
F311,F311
F311,F311-1
F313,F313
F313,F313-1
F321,F321
F321,F321-1
