COD_VEHICLE,COD_PATH,Start Inventory,Target Inventory,pQuantityVehicles
0.42LKM-600L,1,600,1,15
0.55LKM-800L,1,800,1,9
0.58LKM-1000L,1,1000,1,13
0.65LKM-1200L,1,1200,1,7
0.546LKM-600L,1,600,1,3
0.715LKM-800L,1,800,1,2
0.754LKM-1000L,1,1000,1,2
0.845LKM-1200L,1,1200,1,6
0.42LKM-600L,10,600,1,11
0.55LKM-800L,10,800,1,14
0.58LKM-1000L,10,1000,1,3
0.65LKM-1200L,10,1200,1,31
0.546LKM-600L,10,600,1,6
0.715LKM-800L,10,800,1,7
0.754LKM-1000L,10,1000,1,9
0.845LKM-1200L,10,1200,1,4
0.42LKM-600L,100,600,1,1
0.55LKM-800L,100,800,1,3
0.58LKM-1000L,100,1000,1,5
0.65LKM-1200L,100,1200,1,3
0.546LKM-600L,100,600,1,1
0.715LKM-800L,100,800,1,1
0.754LKM-1000L,100,1000,1,2
0.845LKM-1200L,100,1200,1,2
0.42LKM-600L,1000,600,1,1
0.55LKM-800L,1000,800,1,7
0.58LKM-1000L,1000,1000,1,9
0.65LKM-1200L,1000,1200,1,8
0.546LKM-600L,1000,600,1,3
0.715LKM-800L,1000,800,1,4
0.754LKM-1000L,1000,1000,1,2
0.845LKM-1200L,1000,1200,1,5
0.42LKM-600L,1001,600,1,2
0.55LKM-800L,1001,800,1,4
0.58LKM-1000L,1001,1000,1,5
0.65LKM-1200L,1001,1200,1,1
0.546LKM-600L,1001,600,1,3
0.715LKM-800L,1001,800,1,5
0.754LKM-1000L,1001,1000,1,5
0.845LKM-1200L,1001,1200,1,2
0.42LKM-600L,1002,600,1,9
0.55LKM-800L,1002,800,1,5
0.58LKM-1000L,1002,1000,1,4
0.65LKM-1200L,1002,1200,1,9
0.546LKM-600L,1002,600,1,3
0.715LKM-800L,1002,800,1,3
0.754LKM-1000L,1002,1000,1,3
0.845LKM-1200L,1002,1200,1,4
0.42LKM-600L,1003,600,1,7
0.55LKM-800L,1003,800,1,2
0.58LKM-1000L,1003,1000,1,2
0.65LKM-1200L,1003,1200,1,8
0.546LKM-600L,1003,600,1,4
0.715LKM-800L,1003,800,1,3
0.754LKM-1000L,1003,1000,1,5
0.845LKM-1200L,1003,1200,1,3
0.42LKM-600L,1004,600,1,15
0.55LKM-800L,1004,800,1,13
0.58LKM-1000L,1004,1000,1,3
0.65LKM-1200L,1004,1200,1,1
0.546LKM-600L,1004,600,1,8
0.715LKM-800L,1004,800,1,1
0.754LKM-1000L,1004,1000,1,6
0.845LKM-1200L,1004,1200,1,8
0.42LKM-600L,1005,600,1,6
0.55LKM-800L,1005,800,1,1
0.58LKM-1000L,1005,1000,1,1
0.65LKM-1200L,1005,1200,1,1
0.546LKM-600L,1005,600,1,5
0.715LKM-800L,1005,800,1,1
0.754LKM-1000L,1005,1000,1,4
0.845LKM-1200L,1005,1200,1,1
0.42LKM-600L,1006,600,1,11
0.55LKM-800L,1006,800,1,8
0.58LKM-1000L,1006,1000,1,1
0.65LKM-1200L,1006,1200,1,3
0.546LKM-600L,1006,600,1,3
0.715LKM-800L,1006,800,1,2
0.754LKM-1000L,1006,1000,1,6
0.845LKM-1200L,1006,1200,1,1
0.42LKM-600L,1007,600,1,7
0.55LKM-800L,1007,800,1,4
0.58LKM-1000L,1007,1000,1,1
0.65LKM-1200L,1007,1200,1,4
0.546LKM-600L,1007,600,1,3
0.715LKM-800L,1007,800,1,1
0.754LKM-1000L,1007,1000,1,4
0.845LKM-1200L,1007,1200,1,4
0.42LKM-600L,1008,600,1,4
0.55LKM-800L,1008,800,1,1
0.58LKM-1000L,1008,1000,1,7
0.65LKM-1200L,1008,1200,1,9
0.546LKM-600L,1008,600,1,3
0.715LKM-800L,1008,800,1,1
0.754LKM-1000L,1008,1000,1,2
0.845LKM-1200L,1008,1200,1,3
0.42LKM-600L,1009,600,1,5
0.55LKM-800L,1009,800,1,12
0.58LKM-1000L,1009,1000,1,1
0.65LKM-1200L,1009,1200,1,20
0.546LKM-600L,1009,600,1,6
0.715LKM-800L,1009,800,1,1
0.754LKM-1000L,1009,1000,1,3
0.845LKM-1200L,1009,1200,1,3
0.42LKM-600L,101,600,1,7
0.55LKM-800L,101,800,1,7
0.58LKM-1000L,101,1000,1,5
0.65LKM-1200L,101,1200,1,9
0.546LKM-600L,101,600,1,4
0.715LKM-800L,101,800,1,3
0.754LKM-1000L,101,1000,1,5
0.845LKM-1200L,101,1200,1,1
0.42LKM-600L,1010,600,1,1
0.55LKM-800L,1010,800,1,5
0.58LKM-1000L,1010,1000,1,4
0.65LKM-1200L,1010,1200,1,3
0.546LKM-600L,1010,600,1,5
0.715LKM-800L,1010,800,1,2
0.754LKM-1000L,1010,1000,1,4
0.845LKM-1200L,1010,1200,1,2
0.42LKM-600L,1011,600,1,11
0.55LKM-800L,1011,800,1,9
0.58LKM-1000L,1011,1000,1,9
0.65LKM-1200L,1011,1200,1,5
0.546LKM-600L,1011,600,1,5
0.715LKM-800L,1011,800,1,2
0.754LKM-1000L,1011,1000,1,3
0.845LKM-1200L,1011,1200,1,6
0.42LKM-600L,1012,600,1,1
0.55LKM-800L,1012,800,1,3
0.58LKM-1000L,1012,1000,1,10
0.65LKM-1200L,1012,1200,1,11
0.546LKM-600L,1012,600,1,6
0.715LKM-800L,1012,800,1,3
0.754LKM-1000L,1012,1000,1,2
0.845LKM-1200L,1012,1200,1,1
0.42LKM-600L,1013,600,1,5
0.55LKM-800L,1013,800,1,5
0.58LKM-1000L,1013,1000,1,7
0.65LKM-1200L,1013,1200,1,6
0.546LKM-600L,1013,600,1,6
0.715LKM-800L,1013,800,1,2
0.754LKM-1000L,1013,1000,1,1
0.845LKM-1200L,1013,1200,1,4
0.42LKM-600L,1014,600,1,8
0.55LKM-800L,1014,800,1,5
0.58LKM-1000L,1014,1000,1,13
0.65LKM-1200L,1014,1200,1,6
0.546LKM-600L,1014,600,1,5
0.715LKM-800L,1014,800,1,2
0.754LKM-1000L,1014,1000,1,1
0.845LKM-1200L,1014,1200,1,4
0.42LKM-600L,1015,600,1,4
0.55LKM-800L,1015,800,1,4
0.58LKM-1000L,1015,1000,1,3
0.65LKM-1200L,1015,1200,1,5
0.546LKM-600L,1015,600,1,1
0.715LKM-800L,1015,800,1,2
0.754LKM-1000L,1015,1000,1,3
0.845LKM-1200L,1015,1200,1,3
0.42LKM-600L,1016,600,1,4
0.55LKM-800L,1016,800,1,5
0.58LKM-1000L,1016,1000,1,7
0.65LKM-1200L,1016,1200,1,3
0.546LKM-600L,1016,600,1,5
0.715LKM-800L,1016,800,1,1
0.754LKM-1000L,1016,1000,1,1
0.845LKM-1200L,1016,1200,1,4
0.42LKM-600L,1017,600,1,3
0.55LKM-800L,1017,800,1,2
0.58LKM-1000L,1017,1000,1,1
0.65LKM-1200L,1017,1200,1,5
0.754LKM-1000L,1017,1000,1,1
0.845LKM-1200L,1017,1200,1,1
0.42LKM-600L,1018,600,1,3
0.55LKM-800L,1018,800,1,7
0.58LKM-1000L,1018,1000,1,7
0.65LKM-1200L,1018,1200,1,1
0.546LKM-600L,1018,600,1,5
0.715LKM-800L,1018,800,1,1
0.754LKM-1000L,1018,1000,1,2
0.845LKM-1200L,1018,1200,1,1
0.42LKM-600L,1019,600,1,6
0.55LKM-800L,1019,800,1,7
0.58LKM-1000L,1019,1000,1,3
0.65LKM-1200L,1019,1200,1,3
0.546LKM-600L,1019,600,1,2
0.715LKM-800L,1019,800,1,1
0.754LKM-1000L,1019,1000,1,4
0.845LKM-1200L,1019,1200,1,1
0.42LKM-600L,102,600,1,11
