COD_NODE1,COD_NODE2
100,100
100,100-1
1002,1002
1002,1002-1
1002,1002-2
1002,1002-3
1025,1025
1025,1025-1
1025,1025-2
1025,1025-3
1025,1025-4
1026,1026
1026,1026-1
1026,1026-2
1026,1026-3
1028,1028
1028,1028-1
1028,1028-2
1028,1028-3
1029,1029
1029,1029-1
1029,1029-2
1029,1029-3
1033,1033
1033,1033-1
1033,1033-2
1035,1035
1035,1035-1
1037,1037
1037,1037-1
1037,1037-2
1047,1047
1047,1047-1
108,108
1101,1101
1101,1101-1
1112,1112
1112,1112-1
1124,1124
1124,1124-1
1124,1124-2
1137,1137
1137,1137-1
1137,1137-2
1148,1148
1159,1159
1159,1159-1
1159,1159-2
1186,1186
1186,1186-1
1186,1186-2
1221,1221
1221,1221-1
1221,1221-2
1225,1225
1225,1225-1
1225,1225-2
1231,1231
1231,1231-1
1231,1231-2
1231,1231-3
1236,1236
1236,1236-1
1236,1236-2
1236,1236-3
1245,1245
1245,1245-1
1245,1245-2
125,125
125,125-1
127,127
127,127-1
127,127-2
127,127-3
1273,1273
1273,1273-1
1273,1273-2
1273,1273-3
1285,1285
1285,1285-1
1285,1285-2
1285,1285-3
1289,1289
1289,1289-1
1289,1289-2
1300,1300
1300,1300-1
1300,1300-2
1303,1303
1303,1303-1
1303,1303-2
1316,1316
1316,1316-1
1316,1316-2
1323,1323
1365,1365
1365,1365-1
1368,1368
1368,1368-1
1368,1368-2
1384,1384
1384,1384-1
1384,1384-2
1384,1384-3
1397,1397
1397,1397-1
1397,1397-2
1397,1397-3
1401,1401
1401,1401-1
1404,1404
1404,1404-1
1404,1404-2
141,141
141,141-1
141,141-2
141,141-3
1410,1410
1410,1410-1
1410,1410-2
1410,1410-3
1415,1415
1415,1415-1
1421,1421
1421,1421-1
1421,1421-2
1421,1421-3
1429,1429
1429,1429-1
1430,1430
1430,1430-1
1432,1432
1434,1434
1434,1434-1
1442,1442
1442,1442-1
1442,1442-2
1451,1451
1451,1451-1
1451,1451-2
1452,1452
1452,1452-1
1460,1460
1460,1460-1
1460,1460-2
1460,1460-3
1462,1462
1462,1462-1
1462,1462-2
1463,1463
1463,1463-1
1474,1474
1474,1474-1
1474,1474-2
1483,1483
1489,1489
1489,1489-1
1490,1490
1490,1490-1
1490,1490-2
1490,1490-3
1491,1491
1491,1491-1
1496,1496
1496,1496-1
1498,1498
1498,1498-1
15,15
15,15-1
1502,1502
1502,1502-1
1502,1502-2
1502,1502-3
1504,1504
1504,1504-1
1508,1508
1526,1526
1526,1526-1
1539,1539
1539,1539-1
1548,1548
1548,1548-1
1554,1554
1554,1554-1
1556,1556
1556,1556-1
1556,1556-2
1576,1576
1576,1576-1
1591,1591
1591,1591-1
1596,1596
1596,1596-1
1599,1599
1599,1599-1
1600,1600
1600,1600-1
1614,1614
1614,1614-1
1624,1624
1625,1625
1625,1625-1
1629,1629
1636,1636
1636,1636-1
1636,1636-2
1658,1658
1658,1658-1
1666,1666
1666,1666-1
1671,1671
1671,1671-1
1671,1671-2
1672,1672
1672,1672-1
1672,1672-2
1677,1677
1677,1677-1
1677,1677-2
1684,1684
1749,1749
1802,1802
1802,1802-1
1837,1837
1837,1837-1
1837,1837-2
186,186
186,186-1
19,19
19,19-1
19,19-2
1913,1913
1913,1913-1
1913,1913-2
1913,1913-3
1967,1967
1967,1967-1
1977,1977
1977,1977-1
1978,1978
1979,1979
1979,1979-1
20,20
2022,2022
2115,2115
2127,2127
2127,2127-1
2127,2127-2
2143,2143
2143,2143-1
2143,2143-2
2143,2143-3
2182,2182
2182,2182-1
2183,2183
2183,2183-1
2183,2183-2
2199,2199
2199,2199-1
2199,2199-2
2199,2199-3
22,22
2204,2204
2204,2204-1
2204,2204-2
2204,2204-3
2209,2209
2210,2210
2210,2210-1
2210,2210-2
2210,2210-3
2212,2212
2212,2212-1
2212,2212-2
2212,2212-3
2216,2216
2216,2216-1
2216,2216-2
2216,2216-3
2216,2216-4
2220,2220
2220,2220-1
2220,2220-2
2221,2221
2221,2221-1
2221,2221-2
2221,2221-3
2225,2225
2225,2225-1
2225,2225-2
2226,2226
2226,2226-1
2226,2226-2
2226,2226-3
2231,2231
2231,2231-1
2231,2231-2
2231,2231-3
2233,2233
2233,2233-1
2233,2233-2
2233,2233-3
2241,2241
2241,2241-1
2241,2241-2
2241,2241-3
2241,2241-4
2242,2242
2242,2242-1
2246,2246
2246,2246-1
2246,2246-2
2246,2246-3
2246,2246-4
2249,2249
2249,2249-1
2249,2249-2
2249,2249-3
2249,2249-4
2249,2249-5
2250,2250
2250,2250-1
2252,2252
2252,2252-1
2252,2252-2
2252,2252-3
2252,2252-4
2259,2259
2259,2259-1
2260,2260
2260,2260-1
2260,2260-2
2260,2260-3
2265,2265
2266,2266
2266,2266-1
2266,2266-2
2266,2266-3
2267,2267
2267,2267-1
2267,2267-2
2267,2267-3
2268,2268
2268,2268-1
2268,2268-2
2268,2268-3
2268,2268-4
2277,2277
2277,2277-1
2277,2277-2
2277,2277-3
2279,2279
2279,2279-1
2279,2279-2
2284,2284
2284,2284-1
2284,2284-2
2284,2284-3
2291,2291
2291,2291-1
2292,2292
2292,2292-1
2292,2292-2
2292,2292-3
2296,2296
2296,2296-1
2296,2296-2
2296,2296-3
2296,2296-4
2328,2328
2328,2328-1
2328,2328-2
2328,2328-3
2330,2330
2330,2330-1
2330,2330-2
2330,2330-3
2336,2336
2336,2336-1
2336,2336-2
2370,2370
2404,2404
2404,2404-1
2404,2404-2
2404,2404-3
2404,2404-4
2404,2404-5
2404,2404-6
2410,2410
2452,2452
2452,2452-1
2474,2474
2493,2493
250,250
250,250-1
250,250-2
2521,2521
2548,2548
2548,2548-1
2548,2548-2
2548,2548-3
2550,2550
2550,2550-1
2550,2550-2
2550,2550-3
2561,2561
2561,2561-1
2561,2561-2
2561,2561-3
2565,2565
2565,2565-1
2565,2565-2
2572,2572
2572,2572-1
259,259
2644,2644
2644,2644-1
2644,2644-2
