COD_NODE1,COD_NODE2,COD_PATH,pDistance
Powell Reserve,Powell Reserve St,1,0.0
Powell Reserve St,Monash St,1,7.6495
Monash St,Core St,1,2.799
Core St,Bailey Reserve St,1,4.1515
Bailey Reserve St,Chadstone St,1,6.002999999999999
Chadstone St,Deakin St,1,5.149
Deakin St,Mount Waverly St,1,3.807
Mount Waverly St,Chadstone St-1,1,0.321999999999997
Chadstone St-1,Powell Reserve St-1,1,12.579
Powell Reserve St-1,Monash St-1,1,7.6495
Monash St-1,Core St-1,1,2.799
Core St-1,Bailey Reserve St-1,1,4.1515
Bailey Reserve St-1,Core St-2,1,3.7275
Core St-2,Monash St-2,1,3.2460000000000004
Monash St-2,Powell Reserve St-2,1,7.2645
Powell Reserve St-2,Powell Reserve-1,1,0.0
Deakin,Deakin St,2,0.0
Deakin St,Mount Waverly St,2,3.807
Mount Waverly St,Chadstone St,2,0.321999999999997
Chadstone St,Powell Reserve St,2,12.579
Powell Reserve St,Monash St,2,7.6495
Monash St,Core St,2,2.799
Core St,Bailey Reserve St,2,4.1515
Bailey Reserve St,Bailey Reserve St-1,2,8.427
Bailey Reserve St-1,Primrose St,2,5.335
Primrose St,Noble Park St,2,9.832
Noble Park St,Powell Reserve St-1,2,3.315
Powell Reserve St-1,Noble Park St-1,2,3.3005
Noble Park St-1,Primrose St-1,2,9.8345
Primrose St-1,Primrose,2,0.0
Gus,Bailey Reserve St,3,3.989
Bailey Reserve St,Bailey Reserve St-1,3,8.437000000000001
Bailey Reserve St-1,Chadstone St,3,7.23
Chadstone St,Deakin St,3,5.003
Deakin St,Mount Waverly St,3,3.807
Mount Waverly St,Chadstone St-1,3,0.321999999999997
Chadstone St-1,Powell Reserve St,3,12.579
Powell Reserve St,Monash St,3,7.6495
Monash St,Core St,3,2.799
Core St,Bailey Reserve St-2,3,4.1515
Bailey Reserve St-2,Core St-1,3,3.7275
Core St-1,Monash St-1,3,3.2460000000000004
Monash St-1,Powell Reserve St-1,3,7.2645
Powell Reserve St-1,Noble Park St,3,3.3005
Noble Park St,Primrose St,3,9.8345
Primrose St,Primrose,3,0.0
